ATC_ID,ATC_Code,ATC_Name,Level_1_Code,Level_1_Name,Level_2_Code,Level_2_Name,Level_3_Code,Level_3_Name,Level_4_Code,Level_4_Name,Level_5_Code,Level_5_Name,WHO_Version,created_at,updated_at,source,version,Status
ATC000001,A02BC01,Omeprazole,A,Alimentary tract and metabolism,A02,Drugs for acid related disorders,A02B,Drugs for peptic ulcer and GERD,A02BC,Proton pump inhibitors,A02BC01,Omeprazole,2026-01,2026-07-06T09:00:00Z,2026-07-06T09:00:00Z,WHO ATC/DDD Index,1.0.0,Active
ATC000002,A10BA02,Metformin,A,Alimentary tract and metabolism,A10,Drugs used in diabetes,A10B,Blood glucose lowering drugs,A10BA,Biguanides,A10BA02,Metformin,2026-01,2026-07-06T09:00:00Z,2026-07-06T09:00:00Z,WHO ATC/DDD Index,1.0.0,Active
ATC000003,N02BE01,Paracetamol,N,Nervous system,N02,Analgesics,N02B,Other analgesics and antipyretics,N02BE,Anilides,N02BE01,Paracetamol,2026-01,2026-07-06T09:00:00Z,2026-07-06T09:00:00Z,WHO ATC/DDD Index,1.0.0,Active
ATC000004,M01AB05,Diclofenac,M,Musculo-skeletal system,M01,Antiinflammatory and antirheumatic products,M01A,Antiinflammatory and antirheumatic products non-steroids,M01AB,Acetic acid derivatives and related substances,M01AB05,Diclofenac,2026-01,2026-07-06T09:00:00Z,2026-07-06T09:00:00Z,WHO ATC/DDD Index,1.0.0,Active
ATC000005,M01AB16,Aceclofenac,M,Musculo-skeletal system,M01,Antiinflammatory and antirheumatic products,M01A,Antiinflammatory and antirheumatic products non-steroids,M01AB,Acetic acid derivatives and related substances,M01AB16,Aceclofenac,2026-01,2026-07-06T09:00:00Z,2026-07-06T09:00:00Z,WHO ATC/DDD Index,1.0.0,Active
